id,machineId,machineName,productName,partNo,step,sampleGoodQty,sampleNgQty,sampleTestQty
1-ocp-80t-arc-plate-gv2-w113893530111,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,7235498,5584,0
1-ocp-80t-cg-base-1185509,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,19177,20,0
1-ocp-80t-load-term-hi-48187055aa,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,992966,7684,0
1-ocp-80t-armature-high-amp-48187063aa,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,625407,627,0
1-ocp-80t-medium-arc-platel-48187097aa,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1995160,2228,0
1-ocp-80t-high-arc-plate-48187053aa,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1454404,2145,0
1-ocp-80t-arc-stack-plate-48187199aa,1-ocp-80t,1# OCP-80T,Arc Stack Plate,48187199AA,-,272463,400,0
1-ocp-80t-middle-48187096,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1578816,8990,0
1-ocp-80t-arc-stack-top-48187104aa,1-ocp-80t,1# OCP-80T,Arc Stack Top,48187104AA,-,404668,604,0
1-ocp-80t-magnet-loop-48187070aa,1-ocp-80t,1# OCP-80T,Magnet Loop,48187070AA,-,818416,5998,0
2-mhs-80t-arc-plate-14-51207117,2-mhs-80t,2# MHS-80T,ARC PLATE  (14),51207117,-,29340591,22553,0
2-mhs-80t-input-connector-51207042aa,2-mhs-80t,2# MHS-80T,Input Connector,51207042AA,-,1761557,3201,0
2-mhs-80t-output-connector-steel-s1b13952,2-mhs-80t,2# MHS-80T,Output Connector Steel,S1B13952,-,1819167,7002,0
2-mhs-80t-arc-plate-gv2-w113893530111,2-mhs-80t,2# MHS-80T,ARC PLATE GV2,W113893530111,-,27633709,21792,0
2-mhs-80t-beta-arc-extinguishing-chamber-72570400-8-3,2-mhs-80t,2# MHS-80T,BETA Arc extinguishing chamber,72570400-8-3,-,579254,550,0
3-ocp-110t-1-jr-48187254aa,3-ocp-110t,3# OCP-110T,1-JR,48187254AA,-,211812,7135,0
3-ocp-110t-anti-rotation-clip-5037028-aa,3-ocp-110t,3# OCP-110T,ANTI-ROTATION CLIP,5037028-AA,-,42790,170,0
3-ocp-110t-ct3-tetra-a1-coil-screw-terminal-a1-w117239700111,3-ocp-110t,3# OCP-110T,CT3 Tetra A1 Coil Screw Terminal A1,W117239700111,-,42719,1312,0
3-ocp-110t-bimetal-137-51207070,3-ocp-110t,3# OCP-110T,BIMETAL (137),51207070,-,11359752,12428,0
3-ocp-110t-sortie-bobine-borne-a1-w113791660114,3-ocp-110t,3# OCP-110T,SORTIE BOBINE BORNE A1,W113791660114,-,267528,1167,0
3-ocp-110t-sortie-bobine-borne-a2-w113791670114,3-ocp-110t,3# OCP-110T,SORTIE BOBINE BORNE A2,W113791670114,-,413952,1987,0
3-ocp-110t-lock-slide-48187086aa,3-ocp-110t,3# OCP-110T,"Lock,Slide",48187086AA,-,10760,40,0
3-ocp-110t-medium-arc-platel-48187097,3-ocp-110t,3# OCP-110T,Medium Arc Platel,48187097,-,13722,90,0
3-ocp-110t-bimetal-138-51207070,3-ocp-110t,3# OCP-110T,BIMETAL (138),51207070,-,1680762,3640,0
3-ocp-110t-padlocking-48187864aa,3-ocp-110t,3# OCP-110T,PADLOCKING,48187864AA,-,3608,20,0
