id,recordDate,recordTime,date,shift,shiftStartAt,shiftEndAt,machineId,machineName,productName,partNo,step,workMinutes,timeSlots,minutesPerSlot,machineSpeed,cavityQty,normalMinutes,changeoverMinutes,inspectionMinutes,equipmentRepairMinutes,moldRepairMinutes,materialChangeMinutes,emergencyStopMinutes,meetingMinutes,plannedStopMinutes,goodQty,ngQty,testQty,note,createdAt,updatedAt,source
seed-1-ocp-80t-1,,,2026-01-09,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,668.2,133.64,5,110,8,155,60,10,5,368.2,0,0,45,25,81500,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-2,,,2026-01-10,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1674.38,334.88,5,110,8,540,0,45,0,1019.38,15,0,55,0,316992,240,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-3,,,2026-01-12,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1342.34,268.47,5,110,8,450,0,65,0,717.34,30,15,65,0,361584,16,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-4,,,2026-01-13,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1360.87,272.17,5,110,8,410,0,60,20,815.87,0,0,55,0,294080,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-5,,,2026-01-14,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,17300.83,3460.17,5,90,1,610,105,10,0,16520.83,0,0,55,0,2376,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-6,,,2026-01-14,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,6686.43,1337.29,5,90,1,190,0,5,0,6446.43,0,0,45,0,504,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-7,,,2026-01-15,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,11524.67,2304.93,5,90,1,540,0,20,20,10864.67,0,0,80,0,2505,18,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-8,,,2026-01-16,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,7428.33,1485.67,5,90,1,290,0,10,0,7008.33,0,0,40,80,1080,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-9,,,2026-01-17,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,984.4,196.88,5,110,8,380,35,25,0,444.4,10,0,45,45,319800,200,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-10,,,2026-01-19,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1542.81,308.56,5,110,8,655,0,45,0,762.81,20,0,60,0,510050,30,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-11,,,2026-01-20,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1506.94,301.39,5,110,8,615,0,55,0,746.94,30,0,60,0,481828,220,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-12,,,2026-01-21,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,816.33,163.27,5,110,8,225,0,35,0,541.33,0,0,0,15,157280,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-13,,,2026-01-22,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1084.76,216.95,5,120,2,350,0,55,0,589.76,20,0,70,0,76200,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-14,,,2026-01-22,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,562.34,112.47,5,110,8,135,5,45,0,367.34,0,0,10,0,79234,30,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-15,,,2026-01-22,夜,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1345.1,269.02,5,120,2,440,0,55,0,685.1,35,0,45,85,73216,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-16,,,2026-01-23,白,,,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,780.16,156.03,5,110,2,240,60,75,0,360.16,0,0,45,0,43980,10,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-17,,,2026-01-24,白,,,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,1143.91,228.78,5,100,2,425,0,30,0,593.91,10,0,85,0,78000,100,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-18,,,2026-01-25,白,,,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,861.44,172.29,5,100,2,330,0,130,0,381.44,0,0,20,0,57100,10,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-19,,,2026-01-26,白,,,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,601.04,120.21,5,100,2,90,0,180,0,241.04,15,0,75,0,30244,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-20,,,2026-01-27,白,,,1-ocp-80t,1# OCP-80T,Armature High Amp,48187063AA,-,817.93,163.59,5,100,2,185,0,55,0,577.93,0,0,0,0,27209,35,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-21,,,2026-01-28,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,990.02,198,5,110,8,180,15,45,0,695.02,10,0,45,0,49000,112,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-22,,,2026-01-29,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1098.92,219.78,5,110,8,80,0,45,0,908.92,0,0,65,0,42600,184,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-23,,,2026-01-29,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1119.74,223.95,5,110,8,130,0,30,0,949.74,0,0,10,0,53000,992,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-24,,,2026-01-30,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1217.36,243.47,5,110,8,315,0,45,0,782.36,15,0,60,0,196643,149,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-25,,,2026-01-30,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1409.78,281.96,5,110,8,545,0,25,0,749.78,30,0,60,0,367800,200,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-26,,,2026-01-31,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1920.88,384.18,5,110,8,525,0,30,0,1260.88,15,0,90,0,241832,480,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-27,,,2026-01-31,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,687.14,137.43,5,110,8,185,0,20,0,237.14,0,0,5,240,147600,48,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-28,,,2026-02-02,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1653.74,330.75,5,110,8,50,0,135,5,1418.74,0,0,35,10,9304,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-29,,,2026-02-02,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1151.62,230.32,5,110,8,440,0,40,0,611.62,15,0,45,0,288048,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-30,,,2026-02-03,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,687.46,137.49,5,110,8,25,0,30,0,547.46,0,0,85,0,21901,501,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-31,,,2026-02-03,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1330.99,266.2,5,110,8,505,0,60,0,695.99,15,0,55,0,347992,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-32,,,2026-02-04,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1043.37,208.67,5,110,8,215,0,60,30,678.37,0,0,60,0,150608,200,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-33,,,2026-02-04,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1336.57,267.31,5,110,8,565,0,20,0,676.57,30,0,45,0,437256,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-34,,,2026-02-05,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1336.63,267.33,5,110,8,445,0,30,0,766.63,15,0,80,0,280943,89,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-35,,,2026-02-06,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1071.68,214.34,5,110,8,300,0,60,0,636.68,15,0,60,0,223910,90,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-36,,,2026-02-06,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1326.9,265.38,5,110,8,570,0,20,0,666.9,15,0,55,0,440000,624,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-37,,,2026-02-07,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1324.1,264.82,5,110,8,500,0,45,0,684.1,30,0,65,0,353752,200,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-38,,,2026-02-09,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1127.28,225.46,5,110,8,285,0,40,0,737.28,15,0,50,0,193896,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-39,,,2026-02-09,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1425.68,285.14,5,110,8,555,0,15,0,765.68,25,0,65,0,369962,150,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-40,,,2026-02-10,白,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,1176.55,235.31,5,110,8,465,0,50,0,591.55,15,0,55,0,383920,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-41,,,2026-02-10,夜,,,1-ocp-80t,1# OCP-80T,ARC PLATE GV2,W113893530111,-,521.63,104.33,5,110,8,35,0,65,0,366.63,0,0,55,0,33183,49,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-42,,,2026-02-13,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,534.13,106.83,5,110,3,55,0,65,0,354.13,0,0,10,50,5894,10,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-43,,,2026-02-14,夜,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1195.89,239.18,5,100,3,420,0,30,0,690.89,15,0,40,0,107600,52,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-44,,,2026-02-16,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1013.08,202.62,5,100,3,315,0,35,0,598.08,10,0,55,0,90063,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-45,,,2026-02-16,夜,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1009.53,201.91,5,100,3,190,0,10,0,534.53,0,0,20,255,20794,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-46,,,2026-02-17,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1198.62,239.72,5,100,3,490,0,65,0,538.62,40,0,65,0,144648,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-47,,,2026-02-17,夜,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,6756.67,1351.33,5,100,3,495,0,35,0,6096.67,0,0,130,0,12057,30,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-48,,,2026-02-18,白,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1297.17,259.43,5,110,3,370,95,40,55,637.17,30,0,70,0,105396,105,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-49,,,2026-02-18,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,827.01,165.4,5,110,3,300,0,45,0,432.01,30,0,20,0,95101,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-50,,,2026-02-19,白,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,895.95,179.19,5,110,3,355,0,25,0,475.95,15,0,25,0,105840,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-51,,,2026-02-19,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1620.99,324.2,5,110,3,440,0,25,0,1000.99,0,0,65,90,69627,15,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-52,,,2026-02-20,白,,,1-ocp-80t,1# OCP-80T,Arc Stack Plate,48187199AA,-,1408.24,281.65,5,100,3,555,0,90,0,688.24,15,0,60,0,137895,90,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-53,,,2026-02-23,白,,,1-ocp-80t,1# OCP-80T,Arc Stack Plate,48187199AA,-,715.81,143.16,5,100,3,50,0,85,0,470.81,0,0,110,0,14815,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-54,,,2026-02-23,夜,,,1-ocp-80t,1# OCP-80T,Arc Stack Plate,48187199AA,-,219.47,43.89,5,100,3,60,0,10,0,99.47,0,0,50,0,10857,30,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-55,,,2026-02-24,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1177.33,235.47,5,120,2,260,140,95,0,562.33,20,0,100,0,51600,62,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-56,,,2026-02-25,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,843.67,168.73,5,120,2,20,0,155,0,583.67,0,0,85,0,3454,428,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-57,,,2026-02-26,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,662.78,132.56,5,120,2,50,0,100,0,422.78,15,0,75,0,13766,580,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-58,,,2026-02-27,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1179.16,235.83,5,120,2,250,35,60,0,744.16,0,0,90,0,41120,84,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-59,,,2026-02-27,夜,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1039.24,207.85,5,120,2,375,0,35,0,559.24,30,0,20,20,65178,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-60,,,2026-02-28,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1104.05,220.81,5,100,2,210,205,105,0,479.05,15,0,90,0,40768,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
